Air_state,Air_date,Air_value
CO,2020/1/18,35.2
CT,2020/1/18,28
DE,2020/1/18,30.5
FL,2020/1/18,39
GA,2020/1/18,31.3
HI,2020/1/18,20
IA,2020/1/18,35.7
ID,2020/1/18,29.3
IL,2020/1/18,33.2
IN,2020/1/18,29.6
KS,2020/1/18,28.8
KY,2020/1/18,21.2
LA,2020/1/18,32.9
MA,2020/1/18,36.7
MD,2020/1/18,31.3
ME,2020/1/18,26.3
MI,2020/1/18,23.5
MN,2020/1/18,30.3
MO,2020/1/18,19.5
MS,2020/1/18,39.8
MT,2020/1/18,42
NC,2020/1/18,22.7
ND,2020/1/18,32.3
NE,2020/1/18,15
NH,2020/1/18,35.3
NJ,2020/1/18,30.5
NM,2020/1/18,40.6
NV,2020/1/18,44.5
NY,2020/1/18,33.4
OH,2020/1/18,14.8
OK,2020/1/18,23.4
OR,2020/1/18,29.8
PA,2020/1/18,32.9
SC,2020/1/18,30.1
SD,2020/1/18,34.3
TN,2020/1/18,21.2
TX,2020/1/18,27.7
UT,2020/1/18,37.6
VA,2020/1/18,27.2
VT,2020/1/18,37
WA,2020/1/18,34.2
WI,2020/1/18,33.4
WV,2020/1/18,27
WY,2020/1/18,39.8
AK,2020/1/19,31.7
AL,2020/1/19,21.7
AR,2020/1/19,23.3
AZ,2020/1/19,42.4
CA,2020/1/19,51.5
CO,2020/1/19,37.6
CT,2020/1/19,34.7
DE,2020/1/19,30
FL,2020/1/19,35.2
GA,2020/1/19,19.7
HI,2020/1/19,20
IA,2020/1/19,29.4
ID,2020/1/19,37
IL,2020/1/19,36
IN,2020/1/19,36.1
KS,2020/1/19,28
KY,2020/1/19,26.3
LA,2020/1/19,35.3
MA,2020/1/19,39
MD,2020/1/19,37
ME,2020/1/19,23
MI,2020/1/19,37.3
MN,2020/1/19,21.2
MO,2020/1/19,26.3
MS,2020/1/19,19.5
MT,2020/1/19,48.6
NC,2020/1/19,17.8
ND,2020/1/19,30.3
NE,2020/1/19,18
NH,2020/1/19,35.3
NJ,2020/1/19,33
NM,2020/1/19,42.1
NV,2020/1/19,46
NY,2020/1/19,39.7
OH,2020/1/19,36.4
OK,2020/1/19,19.9
OR,2020/1/19,38.3
PA,2020/1/19,36.9
SC,2020/1/19,30.4
SD,2020/1/19,28
TN,2020/1/19,15.8
TX,2020/1/19,31.8
UT,2020/1/19,42.4
VA,2020/1/19,19.4
VT,2020/1/19,33.2
WA,2020/1/19,34.6
WI,2020/1/19,30.1
WV,2020/1/19,30
WY,2020/1/19,42.1
AK,2020/1/20,22.5
AL,2020/1/20,30
AR,2020/1/20,32
AZ,2020/1/20,36.4
CA,2020/1/20,56.3
CO,2020/1/20,42
CT,2020/1/20,25
DE,2020/1/20,36.5
FL,2020/1/20,37.9
GA,2020/1/20,27.8
HI,2020/1/20,21.7
IA,2020/1/20,48
ID,2020/1/20,29.9
IL,2020/1/20,43.8
IN,2020/1/20,40.7
KS,2020/1/20,34.8
KY,2020/1/20,37.3
LA,2020/1/20,33
MA,2020/1/20,37.7
MD,2020/1/20,39
ME,2020/1/20,21.7
MI,2020/1/20,32.5
MN,2020/1/20,38.7
MO,2020/1/20,26
MS,2020/1/20,27.5
MT,2020/1/20,46.1
